***** Observation. ORDER 1 *****
76,66 -> 76 : 2
76,66 -> 56 : 4
67,66 -> 56 : 3
67,66 -> 76 : 3
56,66 -> 56 : 6
56,66 -> 76 : 4
56,66 -> 67 : 1
56,66 -> 65 : 5
55,54 -> 64 : 3
55,54 -> 55 : 7
55,54 -> 53 : 6
55,54 -> 44 : 3
44,54 -> 44 : 3
44,54 -> 55 : 4
44,54 -> 53 : 4
44,54 -> 64 : 1
74,73 -> 72 : 2
74,73 -> 83 : 2
74,73 -> 63 : 2
74,73 -> 74 : 3
83,73 -> 83 : 2
83,73 -> 72 : 3
83,73 -> 74 : 3
83,73 -> 63 : 1
51,52 -> 53 : 7
51,52 -> 62 : 4
51,52 -> 51 : 2
51,52 -> 42 : 1
53,52 -> 42 : 6
53,52 -> 51 : 5
53,52 -> 53 : 1
53,52 -> 62 : 2
42,43 -> 44 : 6
42,43 -> 42 : 3
42,43 -> 53 : 2
42,43 -> 33 : 4
44,43 -> 33 : 2
44,43 -> 44 : 2
44,43 -> 53 : 2
43,44 -> 45 : 7
43,44 -> 54 : 2
43,44 -> 34 : 4
43,44 -> 43 : 1
45,44 -> 54 : 5
45,44 -> 34 : 2
45,44 -> 45 : 5
45,44 -> 43 : 1
54,44 -> 43 : 4
54,44 -> 45 : 2
54,44 -> 34 : 3
54,44 -> 54 : 2
44,45 -> 46 : 7
44,45 -> 44 : 4
44,45 -> 35 : 5
44,45 -> 55 : 6
46,45 -> 44 : 4
46,45 -> 55 : 7
46,45 -> 46 : 5
46,45 -> 35 : 5
45,46 -> 36 : 4
45,46 -> 47 : 2
45,46 -> 45 : 7
45,46 -> 56 : 4
36,46 -> 56 : 5
36,46 -> 45 : 4
36,46 -> 36 : 4
36,46 -> 47 : 3
56,46 -> 36 : 4
56,46 -> 45 : 2
56,46 -> 56 : 4
56,46 -> 47 : 4
46,36 -> 26 : 5
46,36 -> 46 : 3
46,36 -> 35 : 3
46,36 -> 37 : 2
26,36 -> 37 : 5
26,36 -> 46 : 3
26,36 -> 26 : 2
26,36 -> 35 : 1
37,36 -> 35 : 3
37,36 -> 46 : 2
37,36 -> 26 : 1
37,36 -> 37 : 1
35,36 -> 46 : 5
35,36 -> 26 : 3
35,36 -> 37 : 2
35,36 -> 35 : 1
36,37 -> 38 : 3
36,37 -> 47 : 4
36,37 -> 36 : 2
36,37 -> 27 : 1
47,37 -> 36 : 3
47,37 -> 47 : 3
47,37 -> 38 : 3
47,37 -> 27 : 1
38,48 -> 49 : 7
38,48 -> 47 : 3
38,48 -> 38 : 1
58,48 -> 47 : 7
58,48 -> 58 : 7
58,48 -> 49 : 3
58,48 -> 38 : 2
69,68 -> 67 : 2
69,68 -> 78 : 3
69,68 -> 69 : 2
69,68 -> 58 : 2
58,68 -> 58 : 5
58,68 -> 67 : 5
58,68 -> 69 : 2
68,67 -> 77 : 3
68,67 -> 57 : 1
68,67 -> 68 : 5
77,67 -> 66 : 1
77,67 -> 57 : 3
77,67 -> 68 : 2
77,67 -> 77 : 1
66,56 -> 57 : 3
66,56 -> 46 : 6
66,56 -> 55 : 8
66,56 -> 66 : 1
57,56 -> 57 : 6
57,56 -> 55 : 1
57,56 -> 46 : 4
57,56 -> 66 : 4
46,56 -> 66 : 3
46,56 -> 55 : 4
46,56 -> 46 : 2
46,56 -> 57 : 3
56,57 -> 56 : 6
56,57 -> 58 : 6
56,57 -> 47 : 1
56,57 -> 67 : 4
57,58 -> 68 : 5
57,58 -> 59 : 3
57,58 -> 48 : 3
68,58 -> 48 : 5
68,58 -> 59 : 4
68,58 -> 68 : 4
68,58 -> 57 : 1
43,33 -> 34 : 4
43,33 -> 32 : 3
43,33 -> 43 : 2
43,33 -> 23 : 3
23,33 -> 23 : 3
23,33 -> 34 : 2
23,33 -> 32 : 2
23,33 -> 43 : 2
24,23 -> 33 : 3
24,23 -> 22 : 2
24,23 -> 13 : 3
24,23 -> 24 : 1
33,23 -> 33 : 5
33,23 -> 22 : 3
33,23 -> 24 : 2
33,23 -> 13 : 1
22,23 -> 13 : 5
22,23 -> 24 : 3
22,23 -> 22 : 3
23,22 -> 32 : 1
23,22 -> 21 : 4
23,22 -> 23 : 3
32,22 -> 23 : 4
32,22 -> 21 : 1
32,22 -> 32 : 1
4,3 -> 93 : 4
4,3 -> 2 : 6
4,3 -> 13 : 2
93,3 -> 93 : 3
93,3 -> 2 : 3
93,3 -> 4 : 5
93,3 -> 13 : 3
3,93 -> 83 : 5
3,93 -> 3 : 5
3,93 -> 94 : 2
3,93 -> 92 : 3
83,93 -> 3 : 5
83,93 -> 92 : 3
83,93 -> 83 : 8
83,93 -> 94 : 1
93,83 -> 93 : 4
93,83 -> 82 : 5
93,83 -> 84 : 5
93,83 -> 73 : 3
82,83 -> 73 : 1
82,83 -> 93 : 4
82,83 -> 84 : 3
82,83 -> 82 : 1
73,83 -> 93 : 3
73,83 -> 73 : 1
73,83 -> 82 : 2
73,83 -> 84 : 2
93,92 -> 2 : 3
93,92 -> 91 : 2
93,92 -> 93 : 2
93,92 -> 82 : 5
2,92 -> 82 : 3
2,92 -> 93 : 4
2,92 -> 91 : 3
92,2 -> 92 : 5
92,2 -> 1 : 2
92,2 -> 3 : 2
3,2 -> 12 : 4
3,2 -> 1 : 3
3,2 -> 3 : 4
3,2 -> 92 : 1
12,2 -> 12 : 3
12,2 -> 1 : 5
12,2 -> 92 : 3
12,2 -> 3 : 1
2,12 -> 2 : 3
2,12 -> 11 : 4
2,12 -> 13 : 2
2,12 -> 22 : 2
77,1 -> 46 : 1
2,1 -> 11 : 2
2,1 -> 91 : 4
2,1 -> 0 : 6
2,1 -> 2 : 3
1,46 -> 47 : 1
47,46 -> 45 : 6
47,46 -> 47 : 4
47,46 -> 56 : 1
47,46 -> 36 : 2
46,47 -> 48 : 3
46,47 -> 37 : 4
46,47 -> 46 : 5
46,47 -> 57 : 3
57,47 -> 46 : 2
57,47 -> 48 : 4
57,47 -> 37 : 4
57,47 -> 57 : 1
47,48 -> 58 : 5
47,48 -> 49 : 4
47,48 -> 47 : 5
47,48 -> 38 : 2
48,58 -> 48 : 4
48,58 -> 59 : 8
48,58 -> 68 : 1
48,58 -> 57 : 1
59,58 -> 48 : 6
59,58 -> 59 : 4
59,58 -> 57 : 5
59,58 -> 68 : 3
58,59 -> 58 : 4
58,59 -> 69 : 7
58,59 -> 50 : 4
58,59 -> 49 : 3
49,59 -> 50 : 4
49,59 -> 69 : 5
49,59 -> 58 : 3
49,59 -> 49 : 1
50,59 -> 69 : 2
50,59 -> 58 : 5
50,59 -> 50 : 5
50,59 -> 49 : 4
34,44 -> 54 : 5
34,44 -> 34 : 5
34,44 -> 45 : 8
34,44 -> 43 : 1
53,54 -> 55 : 3
53,54 -> 53 : 4
53,54 -> 64 : 3
53,54 -> 44 : 2
54,55 -> 54 : 7
54,55 -> 65 : 4
54,55 -> 45 : 4
54,55 -> 56 : 2
85,86 -> 76 : 4
85,86 -> 87 : 3
76,86 -> 96 : 4
76,86 -> 87 : 2
76,86 -> 85 : 2
96,86 -> 87 : 6
96,86 -> 96 : 2
96,86 -> 76 : 1
87,86 -> 87 : 5
87,86 -> 96 : 3
87,86 -> 85 : 3
87,86 -> 76 : 2
86,87 -> 86 : 6
86,87 -> 97 : 3
86,87 -> 77 : 5
86,87 -> 88 : 1
99,9 -> 8 : 5
99,9 -> 99 : 1
99,9 -> 0 : 1
8,9 -> 19 : 2
8,9 -> 0 : 4
8,9 -> 99 : 2
8,9 -> 8 : 3
10,11 -> 12 : 3
10,11 -> 21 : 4
1,11 -> 21 : 4
1,11 -> 12 : 5
1,11 -> 10 : 3
1,11 -> 1 : 5
11,21 -> 20 : 7
11,21 -> 22 : 2
11,21 -> 31 : 1
20,21 -> 31 : 7
20,21 -> 22 : 3
31,41 -> 51 : 3
31,41 -> 42 : 4
31,41 -> 40 : 2
31,41 -> 31 : 3
51,41 -> 42 : 2
51,41 -> 51 : 3
51,41 -> 40 : 2
51,41 -> 31 : 1
41,51 -> 52 : 2
41,51 -> 50 : 4
41,51 -> 41 : 5
41,51 -> 61 : 5
61,51 -> 41 : 2
61,51 -> 61 : 1
61,51 -> 52 : 3
61,51 -> 50 : 2
42,52 -> 53 : 9
42,52 -> 42 : 1
42,52 -> 62 : 3
62,52 -> 62 : 3
62,52 -> 51 : 5
62,52 -> 42 : 1
52,62 -> 72 : 3
52,62 -> 61 : 3
52,62 -> 52 : 2
52,62 -> 63 : 3
63,62 -> 52 : 2
63,62 -> 63 : 2
63,62 -> 61 : 1
63,62 -> 72 : 1
61,62 -> 52 : 3
61,62 -> 61 : 4
61,62 -> 63 : 3
61,62 -> 72 : 4
62,72 -> 71 : 3
62,72 -> 62 : 3
62,72 -> 73 : 2
62,72 -> 82 : 1
71,72 -> 71 : 7
71,72 -> 62 : 2
71,72 -> 73 : 5
71,72 -> 82 : 4
72,71 -> 72 : 9
72,71 -> 81 : 2
72,71 -> 61 : 6
72,71 -> 70 : 3
81,71 -> 61 : 2
81,71 -> 70 : 8
71,61 -> 51 : 5
71,61 -> 60 : 4
71,61 -> 62 : 3
71,61 -> 71 : 1
62,61 -> 62 : 3
62,61 -> 51 : 1
62,61 -> 60 : 5
62,61 -> 71 : 2
41,42 -> 52 : 5
41,42 -> 43 : 3
41,42 -> 32 : 1
41,42 -> 41 : 1
43,42 -> 52 : 4
43,42 -> 41 : 2
43,42 -> 43 : 3
52,42 -> 43 : 5
52,42 -> 41 : 3
52,42 -> 52 : 1
52,53 -> 43 : 5
52,53 -> 52 : 5
52,53 -> 63 : 3
52,53 -> 54 : 3
54,53 -> 43 : 6
54,53 -> 52 : 4
54,53 -> 63 : 4
54,53 -> 54 : 5
43,53 -> 54 : 4
43,53 -> 63 : 1
43,53 -> 43 : 5
43,53 -> 52 : 1
53,43 -> 42 : 5
53,43 -> 53 : 4
53,43 -> 44 : 2
53,43 -> 33 : 5
77,2 -> 4 : 1
1,0 -> 90 : 5
1,0 -> 10 : 4
1,0 -> 9 : 1
1,0 -> 1 : 4
90,0 -> 90 : 4
90,0 -> 9 : 2
90,0 -> 1 : 2
90,0 -> 10 : 1
0,90 -> 0 : 4
0,90 -> 80 : 4
0,90 -> 99 : 2
0,90 -> 91 : 1
0,9 -> 99 : 3
0,9 -> 19 : 2
0,9 -> 0 : 3
0,9 -> 8 : 1
9,99 -> 9 : 4
9,99 -> 89 : 2
9,99 -> 98 : 1
9,99 -> 90 : 1
89,99 -> 89 : 1
89,99 -> 9 : 2
89,99 -> 98 : 1
98,99 -> 89 : 1
98,99 -> 98 : 2
98,99 -> 90 : 2
98,99 -> 9 : 3
99,89 -> 99 : 1
99,89 -> 79 : 4
89,79 -> 78 : 2
89,79 -> 70 : 2
89,79 -> 69 : 2
89,79 -> 89 : 1
70,79 -> 70 : 4
70,79 -> 78 : 3
70,79 -> 69 : 2
79,78 -> 88 : 1
79,78 -> 79 : 1
79,78 -> 77 : 3
79,78 -> 68 : 2
68,78 -> 68 : 3
68,78 -> 79 : 1
68,78 -> 77 : 1
79,70 -> 79 : 4
79,70 -> 80 : 3
79,70 -> 60 : 3
80,70 -> 60 : 2
80,70 -> 71 : 2
70,60 -> 69 : 3
70,60 -> 50 : 1
70,60 -> 70 : 2
70,60 -> 61 : 3
69,60 -> 61 : 3
69,60 -> 69 : 5
69,60 -> 70 : 5
69,60 -> 50 : 5
61,60 -> 50 : 3
61,60 -> 69 : 5
61,60 -> 61 : 4
60,69 -> 60 : 6
60,69 -> 79 : 3
60,69 -> 68 : 1
60,69 -> 59 : 4
59,69 -> 68 : 3
59,69 -> 60 : 3
59,69 -> 59 : 7
59,69 -> 79 : 2
60,61 -> 71 : 8
60,61 -> 62 : 5
60,50 -> 59 : 5
60,50 -> 40 : 2
60,50 -> 60 : 1
60,50 -> 51 : 1
59,50 -> 40 : 5
59,50 -> 51 : 3
59,50 -> 59 : 2
59,50 -> 60 : 4
78,68 -> 58 : 4
78,68 -> 69 : 1
78,68 -> 67 : 1
42,32 -> 33 : 2
42,32 -> 42 : 2
42,32 -> 31 : 1
33,32 -> 33 : 4
33,32 -> 22 : 2
33,32 -> 31 : 1
33,32 -> 42 : 1
32,33 -> 32 : 5
32,33 -> 43 : 3
32,33 -> 34 : 3
32,33 -> 23 : 2
44,34 -> 24 : 2
44,34 -> 33 : 6
44,34 -> 35 : 2
44,34 -> 44 : 3
35,34 -> 24 : 3
35,34 -> 44 : 5
35,34 -> 35 : 2
35,34 -> 33 : 1
24,34 -> 44 : 7
24,34 -> 35 : 1
24,34 -> 33 : 4
24,34 -> 24 : 7
34,24 -> 25 : 2
34,24 -> 34 : 7
34,24 -> 14 : 2
34,24 -> 23 : 2
24,25 -> 35 : 2
24,25 -> 26 : 2
24,25 -> 15 : 2
26,25 -> 26 : 3
26,25 -> 35 : 2
26,25 -> 15 : 3
26,25 -> 24 : 1
25,35 -> 36 : 2
25,35 -> 25 : 2
25,35 -> 45 : 3
25,35 -> 34 : 1
45,35 -> 36 : 8
45,35 -> 34 : 7
45,35 -> 25 : 4
45,35 -> 45 : 6
56,55 -> 45 : 4
56,55 -> 56 : 3
56,55 -> 65 : 3
56,55 -> 54 : 2
55,45 -> 35 : 7
55,45 -> 44 : 3
55,45 -> 46 : 3
55,45 -> 55 : 3
36,26 -> 25 : 3
36,26 -> 16 : 1
36,26 -> 27 : 3
36,26 -> 36 : 3
25,26 -> 27 : 3
25,26 -> 36 : 1
25,26 -> 16 : 3
25,26 -> 25 : 2
16,26 -> 36 : 2
16,26 -> 27 : 1
16,26 -> 16 : 1
16,26 -> 25 : 4
37,47 -> 57 : 3
37,47 -> 48 : 3
37,47 -> 46 : 4
38,37 -> 38 : 5
38,37 -> 36 : 5
38,37 -> 27 : 3
38,37 -> 47 : 1
36,35 -> 34 : 2
36,35 -> 45 : 2
36,35 -> 36 : 1
36,35 -> 25 : 1
34,35 -> 45 : 6
34,35 -> 36 : 3
34,35 -> 25 : 2
34,35 -> 34 : 1
34,33 -> 43 : 5
34,33 -> 32 : 1
34,33 -> 34 : 1
34,33 -> 23 : 6
33,43 -> 33 : 2
33,43 -> 42 : 4
33,43 -> 53 : 4
33,43 -> 44 : 1
32,42 -> 41 : 1
32,42 -> 52 : 1
32,42 -> 32 : 3
32,42 -> 43 : 2
42,41 -> 31 : 1
42,41 -> 51 : 3
42,41 -> 40 : 3
41,31 -> 21 : 3
41,31 -> 30 : 1
21,31 -> 21 : 5
21,31 -> 41 : 2
21,31 -> 32 : 6
21,31 -> 30 : 2
30,31 -> 41 : 6
30,31 -> 32 : 3
31,21 -> 31 : 5
31,21 -> 22 : 3
31,21 -> 11 : 2
11,10 -> 20 : 3
11,10 -> 0 : 6
11,10 -> 19 : 1
20,10 -> 0 : 1
20,10 -> 11 : 1
20,10 -> 19 : 1
20,10 -> 20 : 1
0,10 -> 19 : 1
0,10 -> 20 : 1
0,10 -> 0 : 1
0,10 -> 11 : 2
10,20 -> 10 : 2
10,20 -> 29 : 5
10,20 -> 30 : 4
10,20 -> 21 : 1
30,20 -> 30 : 2
30,20 -> 29 : 2
30,20 -> 21 : 4
30,20 -> 10 : 3
10,19 -> 29 : 3
10,19 -> 9 : 2
10,19 -> 10 : 3
29,19 -> 29 : 3
29,19 -> 10 : 3
29,19 -> 18 : 1
29,19 -> 9 : 1
18,19 -> 29 : 3
18,19 -> 18 : 1
18,19 -> 10 : 4
18,19 -> 9 : 2
19,29 -> 19 : 4
19,29 -> 28 : 3
19,29 -> 20 : 1
19,29 -> 39 : 4
29,28 -> 18 : 2
29,28 -> 38 : 3
29,28 -> 29 : 2
29,28 -> 27 : 2
28,18 -> 17 : 2
28,18 -> 19 : 3
28,18 -> 8 : 3
17,18 -> 17 : 2
17,18 -> 19 : 2
17,18 -> 28 : 2
17,18 -> 8 : 2
18,17 -> 18 : 3
18,17 -> 7 : 2
18,17 -> 16 : 1
16,17 -> 18 : 2
16,17 -> 27 : 1
16,17 -> 7 : 3
16,17 -> 16 : 4
7,6 -> 5 : 1
7,6 -> 16 : 2
7,6 -> 96 : 2
7,6 -> 7 : 2
5,6 -> 16 : 2
5,6 -> 5 : 1
5,6 -> 96 : 3
6,16 -> 26 : 2
6,16 -> 17 : 2
6,16 -> 15 : 1
26,16 -> 17 : 4
26,16 -> 15 : 3
26,16 -> 26 : 1
28,38 -> 37 : 4
28,38 -> 48 : 2
28,38 -> 28 : 2
28,38 -> 39 : 2
37,38 -> 39 : 3
37,38 -> 48 : 4
37,38 -> 28 : 3
37,38 -> 37 : 1
38,39 -> 30 : 4
38,39 -> 38 : 5
38,39 -> 29 : 3
38,39 -> 49 : 1
30,39 -> 49 : 5
30,39 -> 29 : 2
30,39 -> 30 : 1
49,39 -> 49 : 8
49,39 -> 38 : 3
49,39 -> 30 : 2
49,39 -> 29 : 2
39,30 -> 39 : 3
40,30 -> 20 : 5
40,30 -> 39 : 2
40,30 -> 31 : 1
40,30 -> 40 : 2
20,30 -> 31 : 3
20,30 -> 20 : 3
20,30 -> 40 : 1
20,30 -> 39 : 1
39,49 -> 39 : 3
39,49 -> 40 : 4
39,49 -> 48 : 4
39,49 -> 59 : 4
35,45 -> 44 : 3
35,45 -> 55 : 4
35,45 -> 35 : 8
35,45 -> 46 : 3
55,56 -> 46 : 2
55,56 -> 66 : 7
55,56 -> 57 : 4
45,55 -> 45 : 6
45,55 -> 56 : 4
45,55 -> 54 : 5
45,55 -> 65 : 5
51,50 -> 59 : 3
51,50 -> 60 : 2
51,50 -> 51 : 1
51,50 -> 40 : 2
50,40 -> 41 : 2
50,40 -> 30 : 3
50,40 -> 49 : 4
50,40 -> 50 : 1
40,41 -> 42 : 5
40,41 -> 51 : 7
50,51 -> 61 : 4
50,51 -> 52 : 2
51,61 -> 51 : 3
51,61 -> 60 : 3
51,61 -> 62 : 3
51,61 -> 71 : 4
79,69 -> 79 : 2
79,69 -> 60 : 6
79,69 -> 68 : 1
79,69 -> 59 : 3
69,79 -> 78 : 2
69,79 -> 70 : 2
69,79 -> 69 : 2
78,79 -> 69 : 1
78,79 -> 70 : 2
78,79 -> 89 : 1
78,79 -> 78 : 2
70,80 -> 81 : 2
70,80 -> 90 : 2
70,80 -> 89 : 2
89,80 -> 81 : 2
89,80 -> 90 : 1
80,81 -> 91 : 8
80,81 -> 82 : 2
81,91 -> 92 : 4
81,91 -> 1 : 4
81,91 -> 90 : 4
81,91 -> 81 : 4
92,82 -> 83 : 2
92,82 -> 81 : 6
92,82 -> 92 : 1
92,82 -> 72 : 1
83,82 -> 83 : 3
83,82 -> 72 : 4
83,82 -> 81 : 7
83,82 -> 92 : 1
